feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.24987266208781334,64,64
1,anm,bary-sq_euclidean_mean,0.06018904170405151,64,64
2,anm,bary_euclidean_max,0.14676854221000055,64,64
3,anm,bary_euclidean_mean,0.15625,64,64
4,anm,cce_gaussian,0.4051551817699828,64,64
5,anm,cce_kernel_W-0.5,0.4190865538806655,64,64
6,anm,cce_kozachenko,0.902800387143195,64,64
7,anm,cds,0.3051537451214567,64,64
8,anm,ce_gaussian,0.02814662197224982,64,64
9,anm,ce_kernel_W-0.5,0.10403777648116103,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.030220639067555233,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.012224904411667958,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.014445849117981524,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.02166868657895127,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.027347132940778063,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.020947043110814217,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.11729799278435649,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.08605423739239648,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.10811171424988042,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.08992878609008059,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.07935503312384007,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.07709019224134486,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06353433643467526,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.16430949281132717,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.13639367801994742,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.12949477022199035,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.10490350089796552,64,64
27,anm,cov-sq_EmpiricalCovariance,0.015338453168391497,64,64
28,anm,cov-sq_GraphicalLasso,0.2230901324500597,64,64
29,anm,cov-sq_LedoitWolf,0.921875,64,64
30,anm,cov-sq_OAS,0.46963316129514454,64,64
31,anm,cov-sq_ShrunkCovariance,0.015338453168391497,64,64
32,anm,cov_EmpiricalCovariance,0.5419332906655288,64,64
33,anm,cov_GraphicalLasso,0.4419153579272163,64,64
34,anm,cov_GraphicalLassoCV,0.5903743757548006,64,64
35,anm,cov_LedoitWolf,0.859375,64,64
36,anm,cov_OAS,0.6822224187107849,64,64
37,anm,cov_ShrunkCovariance,0.5419332906655288,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.11283577587914811,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07935258706248294,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07755489223246509,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1040839385116567,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07499391993360638,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08152241554700573,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10284430945700568,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07916170583282983,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07823374660784482,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09137474630751097,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.06231997282433721,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06714016158640057,64,64
50,anm,di_gaussian,0.28981186488660343,64,64
51,anm,di_kernel_W-0.5,0.16038195697821406,64,64
52,anm,di_kozachenko,0.9216393298081234,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1373193350056789,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14684913886657333,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15559012021559573,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.16384033658373431,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.14903387606958396,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1755095652946605,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.14565155810444258,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15653581214599394,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.16344267658525782,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1481637785024773,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.15911736485677952,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.17084932928452357,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.06441577782511987,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04744655027608213,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.048655717106518115,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10414935268423159,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05517669207161913,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08018447167386838,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.01791081649759868,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.25,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.21875,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.09375,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.00791974404218762,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04263705435962184,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04281466725997618,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.01975760483565303,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.015091095662815968,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.015979163073276403,64,64
81,anm,gwtau,0.01927859682276878,64,64
82,anm,hsic,0.5777219985192324,64,64
83,anm,hsic_biased,0.05076520497758219,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.02293752978573793,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.046070208342393726,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04338774675974055,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.02411681276405786,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.044789147841041266,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.038147013460250234,64,64
90,anm,igci,0.8785198328487536,64,64
91,anm,je_gaussian,0.02814662197224982,64,64
92,anm,je_kernel_W-0.5,0.09941735329929158,64,64
93,anm,je_kozachenko,0.8196490576989982,64,64
94,anm,kendalltau,0.4423372184637903,64,64
95,anm,kendalltau-sq,0.09039030720580565,64,64
96,anm,lmfit_BayesianRidge,0.022993189523893953,64,64
97,anm,lmfit_ElasticNet,0.08193345341478625,64,64
98,anm,lmfit_Lasso,0.058051030632610745,64,64
99,anm,lmfit_Ridge,0.02597981772343738,64,64
100,anm,lmfit_SGDRegressor,0.025691852150008826,64,64
101,anm,mi_gaussian,0.015338453168391497,64,64
102,anm,mi_kernel_W-0.25,0.204942317500882,64,64
103,anm,mi_kraskov_NN-4,0.5745760306737318,64,64
104,anm,mi_kraskov_NN-4_DCE,0.482396660753984,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.06441577782511987,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04744655027608213,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.048655717106518115,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10414935268423159,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05517669207161913,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08018447167386838,64,64
111,anm,pdist_braycurtis,0.06716187180381794,64,64
112,anm,pdist_canberra,0.08939647655295258,64,64
113,anm,pdist_chebyshev,0.14950313050389355,64,64
114,anm,pdist_cityblock,0.2039300264819914,64,64
115,anm,pdist_cosine,0.05916857647647844,64,64
116,anm,pdist_euclidean,0.05916857647647844,64,64
117,anm,pec,0.3936280412869595,64,64
118,anm,pec_log,0.35078697042539353,64,64
119,anm,pec_orth,0.18524328329730855,64,64
120,anm,pec_orth_abs,0.06588377418092833,64,64
121,anm,pec_orth_log,0.265250697092792,64,64
122,anm,pec_orth_log_abs,0.052078422762573684,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.018329226104014468,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.038970695413523604,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.041632613681222064,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.5056480540502699,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.519332574054165,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10858850354720812,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.10621074964528299,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15810229105126433,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
133,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.171875,64,64
134,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.15625,64,64
135,anm,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03639838729750211,64,64
136,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05478111283779963,64,64
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.060183954776826365,64,64
138,anm,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.022980497061398597,64,64
139,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.041754672970844176,64,64
140,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.033599248943566695,64,64
141,anm,ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.048773680730821334,64,64
142,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0636992697095844,64,64
143,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0698076302993832,64,64
144,anm,ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2996844951067329,64,64
145,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3670351911247352,64,64
146,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.39809458556355776,64,64
147,anm,prec-sq_EmpiricalCovariance,0.02207789228061674,64,64
148,anm,prec-sq_GraphicalLasso,0.27103444715823244,64,64
149,anm,prec-sq_LedoitWolf,0.96875,64,64
150,anm,prec-sq_OAS,0.4770499726119602,64,64
151,anm,prec-sq_ShrunkCovariance,0.0335786017586871,64,64
152,anm,prec_EmpiricalCovariance,0.37765184954623954,64,64
153,anm,prec_GraphicalLasso,0.35144631437989843,64,64
154,anm,prec_LedoitWolf,0.546875,64,64
155,anm,prec_OAS,0.5279620838837314,64,64
156,anm,prec_ShrunkCovariance,0.4043108426246781,64,64
157,anm,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.11647186899903517,64,64
158,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1700041638139249,64,64
159,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.14371209757053538,64,64
160,anm,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.1397861072174188,64,64
161,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.051246227882070894,64,64
162,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.10681475008817765,64,64
163,anm,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.050450922582277125,64,64
164,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.07181068504615482,64,64
165,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.023316504540282113,64,64
166,anm,reci,0.2547654161217434,64,64
167,anm,sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,0.03165333082904698,64,64
168,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,0.030564514224127537,64,64
169,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,0.02734473448129837,64,64
170,anm,sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,0.011021232750511922,64,64
171,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,0.022802454963878893,64,64
172,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.024636512539333077,64,64
173,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.016606788063751377,64,64
174,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,0.049371043977677054,64,64
175,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,0.7197596398073505,64,64
176,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.06527253718875764,64,64
177,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,0.12391199014846499,64,64
178,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,0.69744044640107,64,64
179,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,0.06661871772018385,64,64
180,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,0.12195234551842699,64,64
181,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,0.6984035419964928,64,64
182,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,0.015715193264215443,64,64
183,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,0.04258156290289572,64,64
184,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,0.7216328190449217,64,64
185,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,0.033334528646332406,64,64
186,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,0.041547116890574776,64,64
187,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,0.6640576494069028,64,64
188,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,0.6722210608117762,64,64
189,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.03141493241383492,64,64
190,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,0.03949803965446319,64,64
191,anm,si_gaussian_k-1,0.030019209873121233,64,64
192,anm,si_kernel_W-0.5_k-1,0.06691312779646197,64,64
193,anm,si_kozachenko_k-1,0.6290452596362155,64,64
194,anm,spearmanr,0.4600699711070749,64,64
195,anm,spearmanr-sq,0.08240960727754279,64,64
196,anm,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.2971670926839445,64,64
197,anm,tlmi_gaussian,0.03134005009778573,64,64
198,anm,tlmi_kernel_W-0.25,0.17876132279465737,64,64
199,anm,tlmi_kraskov_NN-4,0.5951594839004948,64,64
200,anm,tlmi_kraskov_NN-4_DCE,0.47581765564962947,64,64
201,anm,wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10666873426837681,64,64
202,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.11138025503464194,64,64
203,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.1643303636638886,64,64
204,anm,wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
205,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.109375,64,64
206,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.140625,64,64
207,anm,xcorr-sq_max_sig-True,0.035816931204397495,64,64
208,anm,xcorr-sq_mean_sig-False,0.06871497462717602,64,64
209,anm,xcorr-sq_mean_sig-True,0.0752798332603179,64,64
210,anm,xcorr_max_sig-True,0.010405993198602165,64,64
211,anm,xcorr_mean_sig-False,0.4606820827956312,64,64
212,anm,xcorr_mean_sig-True,0.5540994342992528,64,64
213,anm,xme_gaussian_k1,0.12737685203649593,64,64
214,anm,xme_gaussian_k10,0.14741136800985832,64,64
215,anm,xme_kernel_W-0.5_k1,0.37937640293849906,64,64
216,anm,xme_kernel_W-0.5_k10,0.5541610877664711,64,64
217,anm,xme_kozachenko_k1,0.9664365773134339,64,64
218,anm,xme_kozachenko_k10,0.8918804881658688,64,64
219,bary-sq_euclidean_max,bary-sq_euclidean_mean,0.32614056163842303,64,64
220,bary-sq_euclidean_max,bary_euclidean_max,0.2227737535942867,64,64
221,bary-sq_euclidean_max,bary_euclidean_mean,0.140625,64,64
222,bary-sq_euclidean_max,cce_gaussian,0.5563859593749158,64,64
223,bary-sq_euclidean_max,cce_kernel_W-0.5,0.1236781860934856,64,64
224,bary-sq_euclidean_max,cce_kozachenko,0.7117553741370919,64,64
225,bary-sq_euclidean_max,cds,0.17972287739747805,64,64
226,bary-sq_euclidean_max,ce_gaussian,0.6297420463946388,64,64
227,bary-sq_euclidean_max,ce_kernel_W-0.5,0.41209885806306623,64,64
228,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.38672466844566106,64,64
229,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5808189823055814,64,64
230,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.632481188604792,64,64
231,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.35662278319954527,64,64
232,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4405057837704597,64,64
233,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.48082090683585105,64,64
234,bary-sq_euclidean_max,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.23785666072215755,64,64
235,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.21051328096160155,64,64
236,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.2515000887066908,64,64
237,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-1,0.5183312201223549,64,64
238,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-10,0.5468742769796429,64,64
239,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-1,0.4756631646804162,64,64
240,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-10,0.5121785621898737,64,64
241,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-1,0.3481156747980328,64,64
242,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-10,0.37985956896053746,64,64
243,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-1,0.31492165178277354,64,64
244,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-10,0.34495003880426256,64,64
245,bary-sq_euclidean_max,cov-sq_EmpiricalCovariance,0.6297420463946382,64,64
246,bary-sq_euclidean_max,cov-sq_GraphicalLasso,0.5949188787680613,64,64
247,bary-sq_euclidean_max,cov-sq_LedoitWolf,0.828125,64,64
248,bary-sq_euclidean_max,cov-sq_OAS,0.628448229228739,64,64
249,bary-sq_euclidean_max,cov-sq_ShrunkCovariance,0.6297420463946382,64,64
250,bary-sq_euclidean_max,cov_EmpiricalCovariance,0.32614056163842303,64,64
251,bary-sq_euclidean_max,cov_GraphicalLasso,0.3446392478487231,64,64
252,bary-sq_euclidean_max,cov_GraphicalLassoCV,0.5562559718858517,64,64
253,bary-sq_euclidean_max,cov_LedoitWolf,0.828125,64,64
254,bary-sq_euclidean_max,cov_OAS,0.5232193094790689,64,64
255,bary-sq_euclidean_max,cov_ShrunkCovariance,0.32614056163842303,64,64
256,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.30899908512503993,64,64
257,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4913220807747298,64,64
258,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5120521831388106,64,64
259,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.24024266272954328,64,64
260,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4343786563073147,64,64
261,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4191604232286347,64,64
262,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.30790236275198957,64,64
263,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5058005171576387,64,64
264,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.524167092012891,64,64
265,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.20932833638503295,64,64
266,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4434807643160392,64,64
267,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4153457356083834,64,64
268,bary-sq_euclidean_max,di_gaussian,0.5296752760938426,64,64
269,bary-sq_euclidean_max,di_kernel_W-0.5,0.5958081141689774,64,64
270,bary-sq_euclidean_max,di_kozachenko,0.9874585790413813,64,64
271,bary-sq_euclidean_max,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5539459774239146,64,64
272,bary-sq_euclidean_max,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5375547239614138,64,64
273,bary-sq_euclidean_max,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.6910882479975279,64,64
274,bary-sq_euclidean_max,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.19194288842331086,64,64
275,bary-sq_euclidean_max,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13036258019325198,64,64
276,bary-sq_euclidean_max,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1888151155124631,64,64
277,bary-sq_euclidean_max,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5625364045782347,64,64
278,bary-sq_euclidean_max,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5502235618999513,64,64
279,bary-sq_euclidean_max,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.6964488449325577,64,64
280,bary-sq_euclidean_max,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2415339480160369,64,64
281,bary-sq_euclidean_max,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.15403159590715115,64,64
282,bary-sq_euclidean_max,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.21541337507839364,64,64
283,bary-sq_euclidean_max,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.30152708459177724,64,64
284,bary-sq_euclidean_max,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4416543537968447,64,64
285,bary-sq_euclidean_max,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.43710477059411545,64,64
286,bary-sq_euclidean_max,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.23062072385445018,64,64
287,bary-sq_euclidean_max,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3755709883955712,64,64
288,bary-sq_euclidean_max,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3407663661446526,64,64
289,bary-sq_euclidean_max,gc_gaussian_k-1_kt-1_l-1_lt-1,0.5581222892548898,64,64
290,bary-sq_euclidean_max,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
291,bary-sq_euclidean_max,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.125,64,64
292,bary-sq_euclidean_max,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.125,64,64
293,bary-sq_euclidean_max,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3335745067169672,64,64
294,bary-sq_euclidean_max,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4695932996841312,64,64
295,bary-sq_euclidean_max,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4690444109116104,64,64
296,bary-sq_euclidean_max,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.29332407414604217,64,64
297,bary-sq_euclidean_max,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4492334726827198,64,64
298,bary-sq_euclidean_max,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.432194637002398,64,64
299,bary-sq_euclidean_max,gwtau,0.3227896850577464,64,64
300,bary-sq_euclidean_max,hsic,0.34966815627353287,64,64
301,bary-sq_euclidean_max,hsic_biased,0.2853402982907258,64,64
302,bary-sq_euclidean_max,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.35411453636249013,64,64
303,bary-sq_euclidean_max,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.3512009194107622,64,64
304,bary-sq_euclidean_max,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.36164202562721487,64,64
305,bary-sq_euclidean_max,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.20078791041763766,64,64
306,bary-sq_euclidean_max,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.058691065700674505,64,64
307,bary-sq_euclidean_max,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.13498202124842784,64,64
308,bary-sq_euclidean_max,igci,0.15625,64,64
309,bary-sq_euclidean_max,je_gaussian,0.6297420463946388,64,64
310,bary-sq_euclidean_max,je_kernel_W-0.5,0.4218672835076361,64,64
311,bary-sq_euclidean_max,je_kozachenko,0.5245186010419196,64,64
312,bary-sq_euclidean_max,kendalltau,0.3486896372579518,64,64
313,bary-sq_euclidean_max,kendalltau-sq,0.36895717329973676,64,64
